alpha,attack,rel_ppl,AUROC,TPR@1%,TPR@5%,n_pos,n_neg,n_fail
0.1,clean,1.0943,0.998,0.97,0.98,100,100,0
0.1,Word-D,1.0943,0.9416,0.49,0.7,100,100,0
0.1,Word-S,1.0943,0.9377,0.47,0.61,100,100,0
0.1,Doc-P-Dipper,1.0943,0.9031,0.53,0.65,100,100,0
0.1,Translation,1.0943,0.9306,0.65,0.75,100,100,0
0.2,clean,1.1058,0.9991,0.98,1.0,100,100,0
0.2,Word-D,1.1058,0.9563,0.54,0.79,100,100,0
0.2,Word-S,1.1058,0.9418,0.49,0.78,100,100,0
0.2,Doc-P-Dipper,1.1058,0.9293,0.52,0.72,100,100,0
0.2,Translation,1.1058,0.9597,0.68,0.83,100,100,0
0.4,clean,1.11,0.9988,0.99,1.0,100,100,0
0.4,Word-D,1.11,0.9586,0.58,0.83,100,100,0
0.4,Word-S,1.11,0.9644,0.66,0.86,100,100,0
0.4,Doc-P-Dipper,1.11,0.9335,0.56,0.77,100,100,0
0.4,Translation,1.11,0.9684,0.77,0.87,100,100,0
0.6,clean,1.1075,0.9989,0.98,1.0,100,100,0
0.6,Word-D,1.1075,0.9707,0.72,0.85,100,100,0
0.6,Word-S,1.1075,0.9588,0.63,0.81,100,100,0
0.6,Doc-P-Dipper,1.1075,0.9267,0.71,0.74,100,100,0
0.6,Translation,1.1075,0.9698,0.85,0.91,100,100,0
0.7,clean,1.1135,0.9993,0.99,1.0,100,100,0
0.7,Word-D,1.1135,0.9575,0.68,0.86,100,100,0
0.7,Word-S,1.1135,0.9593,0.66,0.76,100,100,0
0.7,Doc-P-Dipper,1.1135,0.9272,0.61,0.72,100,100,0
0.7,Translation,1.1135,0.9725,0.84,0.9,100,100,0
0.8,clean,1.1453,0.9998,0.99,1.0,100,100,0
0.8,Word-D,1.1453,0.9638,0.61,0.86,100,100,0
0.8,Word-S,1.1453,0.9606,0.54,0.8,100,100,0
0.8,Doc-P-Dipper,1.1453,0.9088,0.53,0.69,100,100,0
0.8,Translation,1.1453,0.9624,0.81,0.89,100,100,0
0.95,clean,1.1117,0.9995,0.98,1.0,100,100,0
0.95,Word-D,1.1117,0.9496,0.63,0.88,100,100,0
0.95,Word-S,1.1117,0.9477,0.6,0.79,100,100,0
0.95,Doc-P-Dipper,1.1117,0.9133,0.55,0.73,100,100,0
0.95,Translation,1.1117,0.9631,0.82,0.89,100,100,0
