method,attack,n_pos,n_neg,AUROC,best_TPR,best_TNR,best_FPR,best_FNR,best_P,best_R,best_F1,best_ACC,tpr@0.01fpr_TPR,tpr@0.01fpr_TNR,tpr@0.01fpr_FPR,tpr@0.01fpr_FNR,tpr@0.01fpr_P,tpr@0.01fpr_R,tpr@0.01fpr_F1,tpr@0.01fpr_ACC,tpr@0.05fpr_TPR,tpr@0.05fpr_TNR,tpr@0.05fpr_FPR,tpr@0.05fpr_FNR,tpr@0.05fpr_P,tpr@0.05fpr_R,tpr@0.05fpr_F1,tpr@0.05fpr_ACC
KSEMSTAMP,Doc-P-Dipper,100,98,0.7893367346938777,0.76,0.6938775510204082,0.30612244897959184,0.24,0.7169811320754716,0.76,0.7378640776699029,0.7272727272727273,0.07,1.0,0.0,0.93,1.0,0.07,0.1308411214953271,0.5303030303030303,0.44,0.9591836734693877,0.04081632653061224,0.56,0.9166666666666666,0.44,0.5945945945945946,0.696969696969697
KSEMSTAMP,Paraphrase-Small,100,98,0.8935714285714286,0.81,0.8673469387755102,0.1326530612244898,0.19,0.8617021276595744,0.81,0.8350515463917526,0.8383838383838383,0.23,1.0,0.0,0.77,1.0,0.23,0.37398373983739835,0.6111111111111112,0.69,0.9591836734693877,0.04081632653061224,0.31,0.9452054794520548,0.69,0.7976878612716763,0.8232323232323232
KSEMSTAMP,Translation,100,98,0.916734693877551,0.8,0.9489795918367347,0.05102040816326531,0.2,0.9411764705882353,0.8,0.8648648648648649,0.8737373737373737,0.42,1.0,0.0,0.58,1.0,0.42,0.5915492957746479,0.7070707070707071,0.77,0.9591836734693877,0.04081632653061224,0.23,0.9506172839506173,0.77,0.850828729281768,0.8636363636363636
KSEMSTAMP,Word-D,100,98,0.781530612244898,0.84,0.5510204081632653,0.4489795918367347,0.16,0.65625,0.84,0.7368421052631579,0.696969696969697,0.15,1.0,0.0,0.85,1.0,0.15,0.2608695652173913,0.5707070707070707,0.35,0.9591836734693877,0.04081632653061224,0.65,0.8974358974358975,0.35,0.5035971223021583,0.6515151515151515
KSEMSTAMP,Word-S,100,98,0.7404591836734694,0.81,0.5510204081632653,0.4489795918367347,0.19,0.648,0.81,0.72,0.6818181818181818,0.03,1.0,0.0,0.97,1.0,0.03,0.05825242718446602,0.51010101010101,0.23,0.9591836734693877,0.04081632653061224,0.77,0.8518518518518519,0.23,0.36220472440944884,0.5909090909090909
KSEMSTAMP,Word-S-Context,100,98,0.8713775510204081,0.78,0.8673469387755102,0.1326530612244898,0.22,0.8571428571428571,0.78,0.8167539267015707,0.8232323232323232,0.23,1.0,0.0,0.77,1.0,0.23,0.37398373983739835,0.6111111111111112,0.53,0.9591836734693877,0.04081632653061224,0.47,0.9298245614035088,0.53,0.6751592356687898,0.7424242424242424
KSEMSTAMP,clean,100,98,0.9682653061224489,0.91,0.9897959183673469,0.01020408163265306,0.09,0.9891304347826086,0.91,0.9479166666666666,0.9494949494949495,0.72,1.0,0.0,0.28,1.0,0.72,0.8372093023255814,0.8585858585858586,0.92,0.9591836734693877,0.04081632653061224,0.08,0.9583333333333334,0.92,0.9387755102040817,0.9393939393939394
SemMax,Doc-P-Dipper,100,100,0.9381,0.86,0.91,0.09,0.14,0.9052631578947369,0.86,0.882051282051282,0.885,0.49,0.99,0.01,0.51,0.98,0.49,0.6533333333333333,0.74,0.82,0.95,0.05,0.18,0.9425287356321839,0.82,0.8770053475935828,0.885
SemMax,Paraphrase-Small,100,100,0.9964999999999999,1.0,0.96,0.04,0.0,0.9615384615384616,1.0,0.9803921568627451,0.98,0.86,0.99,0.01,0.14,0.9885057471264368,0.86,0.9197860962566845,0.925,1.0,0.95,0.05,0.0,0.9523809523809523,1.0,0.975609756097561,0.975
SemMax,Translation,100,100,0.9715,0.9,0.96,0.04,0.1,0.9574468085106383,0.9,0.9278350515463918,0.93,0.76,0.99,0.01,0.24,0.987012987012987,0.76,0.8587570621468926,0.875,0.9,0.95,0.05,0.1,0.9473684210526315,0.9,0.9230769230769231,0.925
