method,attack,n_pos,n_neg,AUROC,best_TPR,best_TNR,best_FPR,best_FNR,best_P,best_R,best_F1,best_ACC,tpr@0.01fpr_TPR,tpr@0.01fpr_TNR,tpr@0.01fpr_FPR,tpr@0.01fpr_FNR,tpr@0.01fpr_P,tpr@0.01fpr_R,tpr@0.01fpr_F1,tpr@0.01fpr_ACC,tpr@0.05fpr_TPR,tpr@0.05fpr_TNR,tpr@0.05fpr_FPR,tpr@0.05fpr_FNR,tpr@0.05fpr_P,tpr@0.05fpr_R,tpr@0.05fpr_F1,tpr@0.05fpr_ACC
KSEMSTAMP,Doc-P-Dipper,100,99,0.7581313131313131,0.88,0.40404040404040403,0.5959595959595959,0.12,0.5986394557823129,0.88,0.7125506072874493,0.6432160804020101,0.22,1.0,0.0,0.78,1.0,0.22,0.36065573770491804,0.6080402010050251,0.4,0.9595959595959596,0.04040404040404041,0.6,0.9090909090909091,0.4,0.5555555555555556,0.678391959798995
KSEMSTAMP,Paraphrase-Small,100,99,0.8835858585858586,0.88,0.7676767676767676,0.23232323232323232,0.12,0.7927927927927928,0.88,0.8341232227488151,0.8241206030150754,0.31,1.0,0.0,0.69,1.0,0.31,0.4732824427480916,0.6532663316582915,0.53,0.9595959595959596,0.04040404040404041,0.47,0.9298245614035088,0.53,0.6751592356687898,0.7437185929648241
KSEMSTAMP,Translation,100,99,0.9216161616161617,0.85,0.9292929292929293,0.0707070707070707,0.15,0.9239130434782609,0.85,0.8854166666666666,0.8894472361809045,0.67,1.0,0.0,0.33,1.0,0.67,0.8023952095808383,0.8341708542713567,0.81,0.9595959595959596,0.04040404040404041,0.19,0.9529411764705882,0.81,0.8756756756756757,0.8844221105527639
KSEMSTAMP,Word-D,100,99,0.7585858585858585,0.91,0.36363636363636365,0.6363636363636364,0.09,0.5909090909090909,0.91,0.7165354330708661,0.6381909547738693,0.16,1.0,0.0,0.84,1.0,0.16,0.27586206896551724,0.5778894472361809,0.27,0.9595959595959596,0.04040404040404041,0.73,0.8709677419354839,0.27,0.4122137404580153,0.6130653266331658
KSEMSTAMP,Word-S,100,99,0.7802020202020203,0.88,0.5555555555555556,0.4444444444444444,0.12,0.6666666666666666,0.88,0.7586206896551724,0.7185929648241206,0.19,1.0,0.0,0.81,1.0,0.19,0.31932773109243695,0.592964824120603,0.36,0.9595959595959596,0.04040404040404041,0.64,0.9,0.36,0.5142857142857142,0.6582914572864321
KSEMSTAMP,Word-S-Context,100,99,0.8894444444444444,0.86,0.7676767676767676,0.23232323232323232,0.14,0.7889908256880734,0.86,0.8229665071770335,0.8140703517587939,0.52,1.0,0.0,0.48,1.0,0.52,0.6842105263157895,0.7587939698492462,0.63,0.9595959595959596,0.04040404040404041,0.37,0.9402985074626866,0.63,0.7544910179640718,0.7939698492462312
KSEMSTAMP,clean,100,99,0.9812626262626262,0.93,0.9696969696969697,0.030303030303030304,0.07,0.96875,0.93,0.9489795918367347,0.949748743718593,0.86,1.0,0.0,0.14,1.0,0.86,0.9247311827956989,0.9296482412060302,0.93,0.9595959595959596,0.04040404040404041,0.07,0.9587628865979382,0.93,0.9441624365482234,0.9447236180904522
SemMax,Doc-P-Dipper,100,100,0.9819,0.95,0.92,0.08,0.05,0.9223300970873787,0.95,0.9359605911330049,0.935,0.88,0.99,0.01,0.12,0.9887640449438202,0.88,0.9312169312169312,0.935,0.92,0.95,0.05,0.08,0.9484536082474226,0.92,0.934010152284264,0.935
SemMax,Paraphrase-Small,100,100,0.9924999999999999,0.98,0.98,0.02,0.02,0.98,0.98,0.98,0.98,0.97,0.99,0.01,0.03,0.9897959183673469,0.97,0.9797979797979798,0.98,0.98,0.95,0.05,0.02,0.9514563106796117,0.98,0.9655172413793104,0.965
SemMax,Translation,100,100,0.9908,0.98,0.97,0.03,0.02,0.9702970297029703,0.98,0.9751243781094527,0.975,0.94,0.99,0.01,0.06,0.9894736842105263,0.94,0.9641025641025641,0.965,0.99,0.95,0.05,0.01,0.9519230769230769,0.99,0.9705882352941176,0.97
SemMax,Word-D,100,100,0.9874,0.96,0.98,0.02,0.04,0.9795918367346939,0.96,0.9696969696969697,0.97,0.94,0.99,0.01,0.06,0.9894736842105263,0.94,0.9641025641025641,0.965,0.96,0.95,0.05,0.04,0.9504950495049505,0.96,0.9552238805970149,0.955
SemMax,Word-S,100,100,0.9823,0.93,0.97,0.03,0.07,0.96875,0.93,0.9489795918367347,0.95,0.87,0.99,0.01,0.13,0.9886363636363636,0.87,0.925531914893617,0.93,0.94,0.95,0.05,0.06,0.9494949494949495,0.94,0.9447236180904522,0.945
SemMax,Word-S-Context,100,100,0.9965,0.99,0.98,0.02,0.01,0.9801980198019802,0.99,0.9850746268656716,0.985,0.97,0.99,0.01,0.03,0.9897959183673469,0.97,0.9797979797979798,0.98,0.99,0.95,0.05,0.01,0.9519230769230769,0.99,0.9705882352941176,0.97
SemMax,clean,100,100,0.9994,1.0,0.99,0.01,0.0,0.9900990099009901,1.0,0.9950248756218906,0.995,1.0,0.99,0.01,0.0,0.9900990099009901,1.0,0.9950248756218906,0.995,1.0,0.95,0.05,0.0,0.9523809523809523,1.0,0.975609756097561,0.975
Watermax,Doc-P-Dipper,100,100,0.6779,0.92,0.22,0.78,0.08,0.5411764705882353,0.92,0.6814814814814815,0.57,0.15,0.99,0.01,0.85,0.9375,0.15,0.25862068965517243,0.57,0.25,0.95,0.05,0.75,0.8333333333333334,0.25,0.38461538461538464,0.6
Watermax,Paraphrase-Small,100,100,0.557,0.89,0.23,0.77,0.11,0.536144578313253,0.89,0.6691729323308271,0.56,0.01,0.99,0.01,0.99,0.5,0.01,0.0196078431372549,0.5,0.07,0.95,0.05,0.93,0.5833333333333334,0.07,0.125,0.51
Watermax,Translation,100,100,0.8845,0.87,0.74,0.26,0.13,0.7699115044247787,0.87,0.8169014084507042,0.805,0.48,0.99,0.01,0.52,0.9795918367346939,0.48,0.6442953020134228,0.735,0.58,0.95,0.05,0.42,0.9206349206349206,0.58,0.7116564417177914,0.765
Watermax,Word-D,100,100,0.6989,0.95,0.23,0.77,0.05,0.5523255813953488,0.95,0.6985294117647058,0.59,0.14,0.99,0.01,0.86,0.9333333333333333,0.14,0.24347826086956523,0.565,0.21,0.95,0.05,0.79,0.8076923076923077,0.21,0.3333333333333333,0.58
Watermax,Word-S,100,100,0.5859000000000001,0.98,0.07,0.93,0.02,0.5130890052356021,0.98,0.6735395189003437,0.525,0.05,0.99,0.01,0.95,0.8333333333333334,0.05,0.09433962264150944,0.52,0.1,0.95,0.05,0.9,0.6666666666666666,0.1,0.17391304347826086,0.525
Watermax,Word-S-Context,100,100,0.8711,0.9,0.66,0.34,0.1,0.7258064516129032,0.9,0.8035714285714286,0.78,0.39,0.99,0.01,0.61,0.975,0.39,0.5571428571428572,0.69,0.56,0.95,0.05,0.44,0.9180327868852459,0.56,0.6956521739130435,0.755
