method,attack,n_pos,n_neg,AUROC,best_TPR,best_TNR,best_FPR,best_FNR,best_P,best_R,best_F1,best_ACC,tpr@0.01fpr_TPR,tpr@0.01fpr_TNR,tpr@0.01fpr_FPR,tpr@0.01fpr_FNR,tpr@0.01fpr_P,tpr@0.01fpr_R,tpr@0.01fpr_F1,tpr@0.01fpr_ACC,tpr@0.05fpr_TPR,tpr@0.05fpr_TNR,tpr@0.05fpr_FPR,tpr@0.05fpr_FNR,tpr@0.05fpr_P,tpr@0.05fpr_R,tpr@0.05fpr_F1,tpr@0.05fpr_ACC
KSEMSTAMP,Doc-P-Dipper,100,97,0.7735567010309279,0.79,0.6185567010309279,0.38144329896907214,0.21,0.6810344827586207,0.79,0.7314814814814815,0.7055837563451777,0.13,1.0,0.0,0.87,1.0,0.13,0.23008849557522124,0.5583756345177665,0.35,0.9587628865979382,0.041237113402061855,0.65,0.8974358974358975,0.35,0.5035971223021583,0.649746192893401
KSEMSTAMP,Paraphrase-Small,100,97,0.8317010309278351,0.69,0.9175257731958762,0.08247422680412371,0.31,0.8961038961038961,0.69,0.7796610169491526,0.8020304568527918,0.23,1.0,0.0,0.77,1.0,0.23,0.37398373983739835,0.6091370558375635,0.46,0.9587628865979382,0.041237113402061855,0.54,0.92,0.46,0.6133333333333333,0.7055837563451777
KSEMSTAMP,Translation,100,97,0.8591237113402063,0.8,0.9072164948453608,0.09278350515463918,0.2,0.898876404494382,0.8,0.8465608465608465,0.8527918781725888,0.46,1.0,0.0,0.54,1.0,0.46,0.6301369863013698,0.7258883248730964,0.69,0.9587628865979382,0.041237113402061855,0.31,0.9452054794520548,0.69,0.7976878612716763,0.8223350253807107
KSEMSTAMP,Word-D,100,97,0.7481958762886598,0.73,0.6597938144329897,0.3402061855670103,0.27,0.6886792452830188,0.73,0.7087378640776699,0.6954314720812182,0.07,1.0,0.0,0.93,1.0,0.07,0.1308411214953271,0.5279187817258884,0.3,0.9587628865979382,0.041237113402061855,0.7,0.8823529411764706,0.3,0.44776119402985076,0.6243654822335025
KSEMSTAMP,Word-S,100,97,0.7298969072164948,0.77,0.5360824742268041,0.4639175257731959,0.23,0.6311475409836066,0.77,0.6936936936936937,0.6548223350253807,0.06,1.0,0.0,0.94,1.0,0.06,0.11320754716981132,0.5228426395939086,0.31,0.9587628865979382,0.041237113402061855,0.69,0.8857142857142857,0.31,0.45925925925925926,0.6294416243654822
KSEMSTAMP,Word-S-Context,100,97,0.8732474226804123,0.8,0.9278350515463918,0.07216494845360824,0.2,0.9195402298850575,0.8,0.8556149732620321,0.8629441624365483,0.35,1.0,0.0,0.65,1.0,0.35,0.5185185185185185,0.6700507614213198,0.63,0.9587628865979382,0.041237113402061855,0.37,0.9402985074626866,0.63,0.7544910179640718,0.7918781725888325
KSEMSTAMP,clean,100,97,0.937938144329897,0.91,0.9278350515463918,0.07216494845360824,0.09,0.9285714285714286,0.91,0.9191919191919192,0.9187817258883249,0.65,1.0,0.0,0.35,1.0,0.65,0.7878787878787878,0.8223350253807107,0.83,0.9587628865979382,0.041237113402061855,0.17,0.9540229885057471,0.83,0.8877005347593583,0.8934010152284264
SemMax,Doc-P-Dipper,100,100,0.968,0.9,0.95,0.05,0.1,0.9473684210526315,0.9,0.9230769230769231,0.925,0.78,0.99,0.01,0.22,0.9873417721518988,0.78,0.8715083798882681,0.885,0.9,0.95,0.05,0.1,0.9473684210526315,0.9,0.9230769230769231,0.925
SemMax,Paraphrase-Small,100,100,0.9973000000000001,0.99,0.96,0.04,0.01,0.9611650485436893,0.99,0.9753694581280788,0.975,0.96,0.99,0.01,0.04,0.9896907216494846,0.96,0.9746192893401016,0.975,0.99,0.95,0.05,0.01,0.9519230769230769,0.99,0.9705882352941176,0.97
SemMax,Translation,100,100,0.9928,0.97,0.96,0.04,0.03,0.9603960396039604,0.97,0.9651741293532339,0.965,0.94,0.99,0.01,0.06,0.9894736842105263,0.94,0.9641025641025641,0.965,0.97,0.95,0.05,0.03,0.9509803921568627,0.97,0.9603960396039604,0.96
SemMax,Word-D,100,100,0.9792000000000001,0.92,0.95,0.05,0.08,0.9484536082474226,0.92,0.934010152284264,0.935,0.84,0.99,0.01,0.16,0.9882352941176471,0.84,0.9081081081081082,0.915,0.92,0.95,0.05,0.08,0.9484536082474226,0.92,0.934010152284264,0.935
SemMax,Word-S,100,100,0.9709,0.95,0.9,0.1,0.05,0.9047619047619048,0.95,0.926829268292683,0.925,0.81,0.99,0.01,0.19,0.9878048780487805,0.81,0.8901098901098901,0.9,0.87,0.95,0.05,0.13,0.9456521739130435,0.87,0.90625,0.91
SemMax,Word-S-Context,100,100,0.9986999999999999,0.98,0.99,0.01,0.02,0.98989898989899,0.98,0.9849246231155779,0.985,0.98,0.99,0.01,0.02,0.98989898989899,0.98,0.9849246231155779,0.985,0.99,0.95,0.05,0.01,0.9519230769230769,0.99,0.9705882352941176,0.97
SemMax,clean,100,100,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.01,0.0,0.9900990099009901,1.0,0.9950248756218906,0.995,1.0,0.95,0.05,0.0,0.9523809523809523,1.0,0.975609756097561,0.975
