method,source,group,n,mean,std,median
SemMax,generations,watermarked,100,5.1129,1.4552,5.0369
SemMax,generations,unwatermarked,100,-0.0843,1.1721,-0.1234
SemMax,generations,natural,100,-0.1242,1.2427,-0.057
SemMax,robustness,Word-D,100,3.0836,1.4398,3.0
SemMax,robustness,Translation,100,3.8105,1.7931,3.8103
SemMax,robustness,Doc-P-Dipper,100,2.8263,1.6153,2.552
SemMax,robustness,Paraphrase-Small,100,3.985,1.2619,3.8413
SemMax,robustness,Word-S-Context,100,4.0109,1.5713,3.7539
SemMax,robustness,Word-S,100,3.0433,1.3622,2.9409
SemMax,robustness,clean,100,5.1129,1.4552,5.0369
Watermax,generations,watermarked,100,5.3998,2.1686,5.055
Watermax,generations,unwatermarked,100,0.4707,0.4139,0.3418
Watermax,generations,natural,100,0.4473,0.4439,0.3064
Watermax,robustness,Word-S-Context,100,1.3146,0.9397,1.1364
Watermax,robustness,clean,100,8.5791,2.5568,8.7523
Watermax,robustness,Paraphrase-Small,100,0.5429,0.4762,0.3872
Watermax,robustness,Translation,100,1.3847,0.9719,1.2612
Watermax,robustness,Word-D,100,0.9106,0.6003,0.7419
Watermax,robustness,Doc-P-Dipper,100,0.691,0.6076,0.4791
Watermax,robustness,Word-S,100,0.6464,0.5567,0.5408
KSEMSTAMP,generations,watermarked,100,3.7478,1.2887,4.0166
KSEMSTAMP,generations,unwatermarked,99,-0.1315,0.9349,-0.1925
KSEMSTAMP,generations,natural,100,0.0329,1.083,-0.1925
KSEMSTAMP,robustness,clean,98,3.7638,1.1817,4.0825
KSEMSTAMP,robustness,Word-S-Context,98,2.0242,1.4434,1.964
KSEMSTAMP,robustness,Word-D,98,1.2718,1.3816,1.1547
KSEMSTAMP,robustness,Paraphrase-Small,98,2.1979,1.3334,2.357
KSEMSTAMP,robustness,Translation,97,2.8885,1.4641,3.0
KSEMSTAMP,robustness,Doc-P-Dipper,98,1.3172,1.3517,1.2845
KSEMSTAMP,robustness,Word-S,98,0.9494,1.2326,0.9807
