method,temp,AUROC,rel_ppl,tpr1,tpr5
Watermax,0.8,0.9876,0.9722,0.86,0.95
Watermax,0.9,0.9902,0.9736,0.91,0.97
Watermax,1.0,0.9892,0.9023,0.95,0.97
Watermax,1.1,0.989,0.8228,0.95,0.98
Watermax,1.2,0.9937,0.7617,0.95,0.99
SemMax,0.8,0.998,1.1017,0.98,0.99
SemMax,0.9,0.9982,1.0925,0.97,0.99
SemMax,1.0,0.9977,1.1388,0.93,1.0
SemMax,1.1,0.9988,1.1276,0.99,1.0
SemMax,1.2,0.9978,1.1338,0.96,1.0
KSEMSTAMP,0.8,0.9706,1.0055,0.34,0.88
KSEMSTAMP,0.9,0.9545,1.0105,0.71,0.85
KSEMSTAMP,1.0,0.9817,1.0513,0.73,0.88
KSEMSTAMP,1.1,0.9482,1.1073,0.66,0.76
KSEMSTAMP,1.2,0.9108,1.0638,0.55,0.79
