method,attack,n_pos,n_neg,AUROC,best_TPR,best_TNR,best_FPR,best_FNR,best_P,best_R,best_F1,best_ACC,fpr@0.01_TPR,fpr@0.01_TNR,fpr@0.01_FPR,fpr@0.01_FNR,fpr@0.01_P,fpr@0.01_R,fpr@0.01_F1,fpr@0.01_ACC,fpr@0.05_TPR,fpr@0.05_TNR,fpr@0.05_FPR,fpr@0.05_FNR,fpr@0.05_P,fpr@0.05_R,fpr@0.05_F1,fpr@0.05_ACC
KSEMSTAMP,Paraphrase-Small,100,98,0.8935714285714286,0.81,0.8673469387755102,0.1326530612244898,0.19,0.8617021276595744,0.81,0.8350515463917526,0.8383838383838383,0.23,1.0,0.0,0.77,1.0,0.23,0.37398373983739835,0.6111111111111112,0.69,0.9591836734693877,0.04081632653061224,0.31,0.9452054794520548,0.69,0.7976878612716763,0.8232323232323232
KSEMSTAMP,Translation,100,98,0.916734693877551,0.8,0.9489795918367347,0.05102040816326531,0.2,0.9411764705882353,0.8,0.8648648648648649,0.8737373737373737,0.42,1.0,0.0,0.58,1.0,0.42,0.5915492957746479,0.7070707070707071,0.77,0.9591836734693877,0.04081632653061224,0.23,0.9506172839506173,0.77,0.850828729281768,0.8636363636363636
KSEMSTAMP,Word-D,100,98,0.8075510204081633,0.87,0.5510204081632653,0.4489795918367347,0.13,0.6641221374045801,0.87,0.7532467532467533,0.7121212121212122,0.06,1.0,0.0,0.94,1.0,0.06,0.11320754716981132,0.5252525252525253,0.41,0.9591836734693877,0.04081632653061224,0.59,0.9111111111111111,0.41,0.5655172413793104,0.6818181818181818
KSEMSTAMP,Word-S,100,98,0.7456122448979594,0.68,0.7244897959183674,0.2755102040816326,0.32,0.7157894736842105,0.68,0.6974358974358974,0.702020202020202,0.02,1.0,0.0,0.98,1.0,0.02,0.0392156862745098,0.5050505050505051,0.31,0.9591836734693877,0.04081632653061224,0.69,0.8857142857142857,0.31,0.45925925925925926,0.6313131313131313
KSEMSTAMP,Word-S-Context,100,98,0.8602551020408162,0.8,0.826530612244898,0.17346938775510204,0.2,0.8247422680412371,0.8,0.8121827411167513,0.8131313131313131,0.21,1.0,0.0,0.79,1.0,0.21,0.34710743801652894,0.601010101010101,0.62,0.9591836734693877,0.04081632653061224,0.38,0.9393939393939394,0.62,0.7469879518072289,0.7878787878787878
KSEMSTAMP,clean,100,98,0.9682653061224489,0.91,0.9897959183673469,0.01020408163265306,0.09,0.9891304347826086,0.91,0.9479166666666666,0.9494949494949495,0.72,1.0,0.0,0.28,1.0,0.72,0.8372093023255814,0.8585858585858586,0.92,0.9591836734693877,0.04081632653061224,0.08,0.9583333333333334,0.92,0.9387755102040817,0.9393939393939394
SemMax,Paraphrase-Small,100,100,0.9927,0.98,0.96,0.04,0.02,0.9607843137254902,0.98,0.9702970297029703,0.97,0.84,0.99,0.01,0.16,0.9882352941176471,0.84,0.9081081081081082,0.915,0.98,0.95,0.05,0.02,0.9514563106796117,0.98,0.9655172413793104,0.965
SemMax,Translation,100,100,0.9748,0.93,0.95,0.05,0.07,0.9489795918367347,0.93,0.9393939393939394,0.94,0.79,0.99,0.01,0.21,0.9875,0.79,0.8777777777777778,0.89,0.93,0.95,0.05,0.07,0.9489795918367347,0.93,0.9393939393939394,0.94
SemMax,Word-D,100,100,0.9616,0.88,0.92,0.08,0.12,0.9166666666666666,0.88,0.8979591836734694,0.9,0.59,0.99,0.01,0.41,0.9833333333333333,0.59,0.7375,0.79,0.82,0.95,0.05,0.18,0.9425287356321839,0.82,0.8770053475935828,0.885
SemMax,Word-S,100,100,0.9556000000000001,0.89,0.88,0.12,0.11,0.8811881188118812,0.89,0.8855721393034826,0.885,0.57,0.99,0.01,0.43,0.9827586206896551,0.57,0.7215189873417721,0.78,0.8,0.95,0.05,0.2,0.9411764705882353,0.8,0.8648648648648649,0.875
